Country,Vehicle,Quintile,Sex,Data need,Data point name,Units,Year,Data source,Value,CI,SE,Notes
Nigeria,Bouillon,Middle,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,2021,NFCMS,0.992,"[98.5, 99.8]",,95% CI
Nigeria,Bouillon,Fourth,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,2021,NFCMS,0.986,"[97.8, 99.4]",,
Nigeria,Bouillon,Highest,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,2021,NFCMS,0.986,"[97.5, 99.7]",,
Nigeria,Bouillon,Total,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,6.3,"[6.0, 6.6]",0.1,"Table 170, page 222"
Nigeria,Bouillon,Lowest,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,8.4,"[7.7, 9.0]",0.3,95% CI
Nigeria,Bouillon,Second,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,8,"[7.3, 8.7]",0.3,"Pregnant and non-pregnant WRA have been stratified in the NFCMS final report, these are the non-pregnant numbers  "
Nigeria,Bouillon,Middle,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,5.9,"[5.3, 6.5]",0.3,"Also, these numbers are across all women, not just those who consume bouillon"
Nigeria,Bouillon,Fourth,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,4.9,"[4.3, 5.4]",0.3,
Nigeria,Bouillon,Highest,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,4.6,"[4.1, 5.2]",0.3,
Nigeria,Bouillon,Total,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,3.037037037037037,,,"Very rough estimate using SD = IQR / 1.35 (normality assumption), IQR reported in table 170"
Nigeria,Bouillon,Lowest,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,3.62962962962963,,,
Nigeria,Bouillon,Second,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,3.111111111111111,,,
Nigeria,Bouillon,Middle,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,2.962962962962962,,,
Nigeria,Bouillon,Fourth,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,2.444444444444445,,,
Nigeria,Bouillon,Highest,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,1.703703703703703,,,
Nigeria,Bouillon,Total,Female,Vehicle consumption by WRA -- any,percentage,%,2021,NFCMS,0.981,"[97.5,98.8]",,https://www.unicef.org/nigeria/media/9271/file/%20National%20Food%20Consumption%20and%20Micronutrient%20Survey%20(2021).pdf
