Vehicle,Salt,Bouillon,Rice,Notes
Data need,,,,
Iron fortification/consumption effect on hemoglobin,Not modeled,Complete,Complete,
Iron fortification/consumption effect on birthweight,Not modeled,Complete,Complete,
