Country,Ethiopia,,,,Nigeria,,,,,,,,India,,,
Vehicle,Salt,,,,Bouillon,,,,Rice,,,,Rice,,,
Fortificant,Folate,,Iron,,Folate,,Iron,,Folate,,Iron,,Folate,,Iron,
Wealth,Overall,Quintile,Overall,Quintile,Overall,Quintile,Overall,Quintile,Overall,Quintile,Overall,Quintile,Overall,Quintile,Overall,Quintile
Data need,,,,,,,,,,,,,,,,
Vehicle fortification at baseline -- any,Zero,Zero,Not modeled,Not modeled,Zero,Zero,Complete,Complete,Zero,Zero,Zero,Zero,Microdata: HCES,Microdata: HCES,Microdata: HCES,Microdata: HCES
Vehicle fortification at baseline -- amount among fortified,Zero,Zero,Not modeled,Not modeled,Zero,Zero,Missing,Missing,Zero,Zero,Zero,Zero,Missing,N/A,Missing,N/A
Baseline effective % of fortified,Zero,Zero,Not modeled,Not modeled,Zero,Zero,Missing,Missing,Zero,Zero,Zero,Zero,Missing,N/A,Missing,N/A
