Country,Ethiopia,,,Nigeria,,,,India,
Vehicle,Salt,,,Bouillon,,Rice,,Rice,
Fortificant,Folate,,,Folate,Iron,Folate,Iron,Folate,Iron
Scenario,Intervention - 25% NRV,Intervention - 100% NRV,Intervention - 45 ppm,Intervention,Intervention,Intervention,Intervention,Intervention,Intervention
Data need,,,,,,,,,
Vehicle fortification in intervention -- amount among fortified,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Intervention coverage % of fortifiable,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Intervention effective % of fortified,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
