Country,Vehicle,Fortificant,Scenario,Data need,Data point name,Units,Data source,Value,Notes
Ethiopia,Salt,Folate,Intervention - 100% NRV,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' AZ27 (2035 FA compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target; applies to all three Ethiopia arms"
Ethiopia,Salt,Folate,Intervention - 100% NRV,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' AZ27 (2035 FA compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target; applies to all three Ethiopia arms"
Ethiopia,Salt,Folate,Intervention - 100% NRV,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,Andy Garcia email 7/26,56.33802816901409,100% Codex (400mcg) per 7.1 grams
Ethiopia,Salt,Folate,Intervention - 25% NRV,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' AZ27 (2035 FA compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target; applies to all three Ethiopia arms"
Ethiopia,Salt,Folate,Intervention - 25% NRV,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' AZ27 (2035 FA compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target; applies to all three Ethiopia arms"
Ethiopia,Salt,Folate,Intervention - 25% NRV,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,Andy Garcia email 7/26,14.08450704225352,25% Codex (100mcg) per 7.1 grams
Ethiopia,Salt,Folate,Intervention - 45 ppm,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' AZ27 (2035 FA compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"Same program reach as the NRV scenarios (Andy Garcia 7/26); coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target; applies to all three Ethiopia arms"
Ethiopia,Salt,Folate,Intervention - 45 ppm,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' AZ27 (2035 FA compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target; applies to all three Ethiopia arms"
Ethiopia,Salt,Folate,Intervention - 45 ppm,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,"20260416_Input data to IHME models.xlsx spreadsheet from Jonathan Gorstein, attached to Email 4/16/2026",45,45 ppm = 45 µg/g
India,Rice,Folate,Intervention,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' V55/Y55 (2035 compliance 85%); Kathy Banke email 9/9/2026: use 2035 targets,0.92,"coverage = effectiveness = sqrt(0.85) ~ 0.92, product 0.8464 realizes the 2035 compliance target"
