sex,age_start,age_end,wealth_quintile,value
Female,10,15,lowest,0.7
Female,10,15,second,0.65
Female,10,15,middle,0.65
Female,10,15,fourth,0.65
Female,10,15,highest,0.65
Female,15,20,lowest,0.7
Female,15,20,second,0.65
Female,15,20,middle,0.65
Female,15,20,fourth,0.65
Female,15,20,highest,0.65
Female,20,25,lowest,0.7
Female,20,25,second,0.65
Female,20,25,middle,0.65
Female,20,25,fourth,0.65
Female,20,25,highest,0.65
Female,25,30,lowest,0.7
Female,25,30,second,0.65
Female,25,30,middle,0.65
Female,25,30,fourth,0.65
Female,25,30,highest,0.65
Female,30,35,lowest,0.7
Female,30,35,second,0.65
Female,30,35,middle,0.65
Female,30,35,fourth,0.65
Female,30,35,highest,0.65
Female,35,40,lowest,0.7
Female,35,40,second,0.65
Female,35,40,middle,0.65
Female,35,40,fourth,0.65
Female,35,40,highest,0.65
Female,40,45,lowest,0.7
Female,40,45,second,0.65
Female,40,45,middle,0.65
Female,40,45,fourth,0.65
Female,40,45,highest,0.65
Female,45,50,lowest,0.7
Female,45,50,second,0.65
Female,45,50,middle,0.65
Female,45,50,fourth,0.65
Female,45,50,highest,0.65
Female,50,55,lowest,0.7
Female,50,55,second,0.65
Female,50,55,middle,0.65
Female,50,55,fourth,0.65
Female,50,55,highest,0.65
