scenario,wealth_quintile,value
baseline,fourth,111762037.51121481
baseline,highest,104823691.0247258
baseline,lowest,130509518.89657536
baseline,middle,118271541.27035595
baseline,second,120910967.42253965
intervention,fourth,108313032.42110257
intervention,highest,100221531.46690504
intervention,lowest,127637261.68339492
intervention,middle,115095210.71617821
intervention,second,118034019.628313
