sex,age_start,age_end,pregnant,1,2,3,4,5
Female,0.0,5.0,not_pregnant,0.23765961917054315,0.22548739789977834,0.2039769539948272,0.1784870883132483,0.154388940621603
Female,5.0,15.0,not_pregnant,0.22265687755699887,0.21983133864390292,0.20057276560612558,0.18805662862317477,0.16888238956979781
Female,15.0,30.0,not_pregnant,0.16558510068407933,0.1915657523578084,0.20980295016786998,0.2261502813384323,0.20689591545180994
Female,15.0,30.0,pregnant,0.22813110078856583,0.2619708226482409,0.22582771624320294,0.1746001014634341,0.10947025885655635
Female,30.0,50.0,not_pregnant,0.1692980826525846,0.1734633232182719,0.1860563355926604,0.2088136575261641,0.2623686010103189
Female,30.0,50.0,pregnant,0.23128249460820416,0.19076548983893182,0.17166069560078254,0.20552110096464313,0.20077021898743833
Female,50.0,125.0,not_pregnant,0.18349471327454087,0.1832209341278868,0.20273354852866216,0.20092064106183902,0.22963016300707118
Male,0.0,5.0,not_pregnant,0.24525921337994852,0.2227797306764256,0.20262863697654102,0.17336699124538227,0.15596542772170258
Male,5.0,15.0,not_pregnant,0.2276788348963129,0.2106037259774979,0.2019285052307186,0.19228944033322817,0.16749949356224234
Male,15.0,30.0,not_pregnant,0.17153272078253343,0.19678380436838133,0.20776541759321684,0.21841362820184626,0.2055044290540221
Male,30.0,50.0,not_pregnant,0.1553840200647292,0.16711127427384295,0.1884027443526004,0.2195855534284691,0.26951640788035824
Male,50.0,125.0,not_pregnant,0.20129447311389215,0.18143468601803153,0.18968365750392394,0.188894547858144,0.2386926355060084
