sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,lowest,bouillon,8.200000000000001
Female,0,5,second,bouillon,7.8095238095238075
Female,0,5,middle,bouillon,5.7595238095238095
Female,0,5,fourth,bouillon,4.783333333333333
Female,0,5,highest,bouillon,4.4904761904761905
Male,0,5,lowest,bouillon,8.600000000000001
Male,0,5,second,bouillon,8.19047619047619
Male,0,5,middle,bouillon,6.040476190476191
Male,0,5,fourth,bouillon,5.0166666666666675
Male,0,5,highest,bouillon,4.70952380952381
Total,0,5,lowest,bouillon,8.4
Total,0,5,second,bouillon,8.0
Total,0,5,middle,bouillon,5.9
Total,0,5,fourth,bouillon,4.9
Total,0,5,highest,bouillon,4.6
Female,5,15,fourth,bouillon,4.841666666666667
Female,5,15,highest,bouillon,4.545238095238095
Female,5,15,lowest,bouillon,8.3
Female,5,15,middle,bouillon,5.829761904761905
Female,5,15,second,bouillon,7.904761904761903
Male,5,15,fourth,bouillon,5.077845528455285
Male,5,15,highest,bouillon,4.766957026713124
Male,5,15,lowest,bouillon,8.70487804878049
Male,5,15,middle,bouillon,6.114140534262486
Male,5,15,second,bouillon,8.290360046457607
Total,5,15,fourth,bouillon,
Total,5,15,highest,bouillon,
Total,5,15,lowest,bouillon,
Total,5,15,middle,bouillon,
Total,5,15,second,bouillon,
Female,15,100,lowest,bouillon,8.4
Female,15,100,second,bouillon,8.0
Female,15,100,middle,bouillon,5.9
Female,15,100,fourth,bouillon,4.9
Female,15,100,highest,bouillon,4.6
Male,15,100,lowest,bouillon,8.809756097560976
Male,15,100,second,bouillon,8.390243902439025
Male,15,100,middle,bouillon,6.187804878048781
Male,15,100,fourth,bouillon,5.139024390243903
Male,15,100,highest,bouillon,4.824390243902439
