wealth_quintile,entity,scenario,value
1,ntd,zero,412740.8750394843
2,ntd,zero,422053.23399395397
3,ntd,zero,382074.31365493755
4,ntd,zero,338670.15783841495
5,ntd,zero,297460.2934996698
1,ntd,baseline,412740.8750394843
2,ntd,baseline,422053.23399395397
3,ntd,baseline,382074.31365493755
4,ntd,baseline,338670.15783841495
5,ntd,baseline,297460.2934996698
1,ntd,intervention_25_nrv,265852.91505545884
2,ntd,intervention_25_nrv,280318.8156012636
3,ntd,intervention_25_nrv,257418.365625954
4,ntd,intervention_25_nrv,232087.760525897
5,ntd,intervention_25_nrv,203706.45753450767
1,ntd,intervention_100_nrv,142119.34620872154
2,ntd,intervention_100_nrv,153211.72642751908
3,ntd,intervention_100_nrv,142236.48487430759
4,ntd,intervention_100_nrv,129978.37833152758
5,ntd,intervention_100_nrv,114020.17140177937
