sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,1,rice,0.5761473962207246
Female,0,5,2,rice,0.5744411899945374
Female,0,5,3,rice,0.5465060320408803
Female,0,5,4,rice,0.49133101080828084
Female,0,5,5,rice,0.3134806495386492
Female,5,15,1,rice,0.7023820907706009
Female,5,15,2,rice,0.6847798594844665
Female,5,15,3,rice,0.654181886156136
Female,5,15,4,rice,0.5956514759409232
Female,5,15,5,rice,0.38378439926450253
Female,15,30,1,rice,0.648720928095359
Female,15,30,2,rice,0.6513732894582392
Female,15,30,3,rice,0.600039183497563
Female,15,30,4,rice,0.5655615110083427
Female,15,30,5,rice,0.3746994552185669
Female,30,50,1,rice,0.6816557170679435
Female,30,50,2,rice,0.676420490759939
Female,30,50,3,rice,0.6342889416692874
Female,30,50,4,rice,0.5726905677339956
Female,30,50,5,rice,0.34573953224367426
Female,50,125,1,rice,0.6991501081125568
Female,50,125,2,rice,0.6815078668774212
Female,50,125,3,rice,0.6404587478812722
Female,50,125,4,rice,0.5716372994446826
Female,50,125,5,rice,0.3351219987156535
Male,0,5,1,rice,0.5840592357291041
Male,0,5,2,rice,0.5817390204928852
Male,0,5,3,rice,0.5434890785933815
Male,0,5,4,rice,0.4914919100449618
Male,0,5,5,rice,0.3119600161847538
Male,5,15,1,rice,0.7060128114179383
Male,5,15,2,rice,0.68808326689656
Male,5,15,3,rice,0.6457900297123276
Male,5,15,4,rice,0.5959744594210019
Male,5,15,5,rice,0.3752653249791614
Male,15,30,1,rice,0.6751421613798435
Male,15,30,2,rice,0.6508456571036344
Male,15,30,3,rice,0.5978599546403331
Male,15,30,4,rice,0.5688583158093774
Male,15,30,5,rice,0.37272871508176775
Male,30,50,1,rice,0.6669703883002936
Male,30,50,2,rice,0.6608859222470902
Male,30,50,3,rice,0.6104476902926878
Male,30,50,4,rice,0.5616183555321005
Male,30,50,5,rice,0.3421140685785052
Male,50,125,1,rice,0.6938936420105043
Male,50,125,2,rice,0.6759540742487097
Male,50,125,3,rice,0.6327841175462153
Male,50,125,4,rice,0.5681129703629755
Male,50,125,5,rice,0.334350087883138
