scenario,entity,wealth_quintile,value
baseline,anemia,fourth,635757.191009671
baseline,anemia,highest,449216.0358446826
baseline,anemia,lowest,954697.4766581577
baseline,anemia,middle,691699.1758646299
baseline,anemia,second,804743.3959672948
baseline,lbwsg,fourth,54789704.78529219
baseline,lbwsg,highest,48132088.39612755
baseline,lbwsg,lowest,81539280.17236716
baseline,lbwsg,middle,67999339.55212314
baseline,lbwsg,second,82155714.88620749
baseline,maternal_disorders,fourth,159369.24982535813
baseline,maternal_disorders,highest,146485.74185491496
baseline,maternal_disorders,lowest,243575.76654399547
baseline,maternal_disorders,middle,194939.2564199553
baseline,maternal_disorders,second,223397.3317920215
baseline,maternal_hemorrhage,fourth,0.0
baseline,maternal_hemorrhage,highest,0.0
baseline,maternal_hemorrhage,lowest,0.0
baseline,maternal_hemorrhage,middle,0.0
baseline,maternal_hemorrhage,second,0.0
baseline,ntd,fourth,351266.7227071316
baseline,ntd,highest,308524.0905193169
baseline,ntd,lowest,428092.4408213336
baseline,ntd,middle,396285.2612841676
baseline,ntd,second,437751.16549754096
baseline,pregnancy,fourth,0.0
baseline,pregnancy,highest,0.0
baseline,pregnancy,lowest,0.0
baseline,pregnancy,middle,0.0
baseline,pregnancy,second,0.0
intervention,anemia,fourth,621632.5574705398
intervention,anemia,highest,440957.79927669634
intervention,anemia,lowest,918608.9254876231
intervention,anemia,middle,674126.2425612053
intervention,anemia,second,778795.7999098123
intervention,lbwsg,fourth,54570426.240559146
intervention,lbwsg,highest,47946728.30231444
intervention,lbwsg,lowest,80604898.82089248
intervention,lbwsg,middle,67577971.39057769
intervention,lbwsg,second,81449053.79967432
intervention,maternal_disorders,fourth,157851.24665537296
intervention,maternal_disorders,highest,145759.0420724095
intervention,maternal_disorders,lowest,239998.35460465285
intervention,maternal_disorders,middle,193513.7211698445
intervention,maternal_disorders,second,220001.68039846586
intervention,maternal_hemorrhage,fourth,0.0
intervention,maternal_hemorrhage,highest,0.0
intervention,maternal_hemorrhage,lowest,0.0
intervention,maternal_hemorrhage,middle,0.0
intervention,maternal_hemorrhage,second,0.0
intervention,ntd,fourth,205128.46940891357
intervention,ntd,highest,187792.10151914996
intervention,ntd,lowest,178968.06033992357
intervention,ntd,middle,208656.55522071623
intervention,ntd,second,193302.1483750225
intervention,pregnancy,fourth,0.0
intervention,pregnancy,highest,0.0
intervention,pregnancy,lowest,0.0
intervention,pregnancy,middle,0.0
intervention,pregnancy,second,0.0
