scenario,wealth_quintile,value
baseline,1,207427.26465751135
baseline,2,171483.87280142886
baseline,3,153442.40495407418
baseline,4,143913.1112629568
baseline,5,137695.65800858312
intervention,1,207427.26465751135
intervention,2,171483.87280142886
intervention,3,153442.40495407418
intervention,4,143913.1112629568
intervention,5,137695.65800858312
zero,1,208016.44975393577
zero,2,171868.3936012006
zero,3,153755.60334743664
zero,4,144170.49212086853
zero,5,137832.10087301827
