scenario,wealth_quintile,value
baseline,1,130658288.50837997
baseline,2,121101296.88219333
baseline,3,118463817.52010326
baseline,4,111967017.20814344
baseline,5,104981394.37323853
intervention,1,130658288.50837997
intervention,2,121101296.88219333
intervention,3,118463817.52010326
intervention,4,111967017.20814344
intervention,5,104981394.37323853
zero,1,139164134.1773752
zero,2,129179305.01532134
zero,3,125490666.05335988
zero,4,117876445.53719728
zero,5,108133914.50483333
