scenario,wealth_quintile,value
zero,1,4414.172403655204
zero,2,3856.479366581032
zero,3,3428.2924419570345
zero,4,3210.268928006087
zero,5,2665.998954727921
baseline,1,4099.443838250223
baseline,2,3621.4308007919576
baseline,3,3251.1937311411107
baseline,4,3065.715463445835
baseline,5,2610.941169379957
intervention,1,2327.7031952463526
intervention,2,2212.656819161597
intervention,3,2126.8492575995706
intervention,4,2108.946310497602
intervention,5,2188.2081646115694
