sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0,5,not_pregnant,1,14.268158580009757
Female,0,5,not_pregnant,2,14.307554225181542
Female,0,5,not_pregnant,3,13.564635041056016
Female,0,5,not_pregnant,4,12.328836310439343
Female,0,5,not_pregnant,5,11.817991936611437
Male,0,5,not_pregnant,1,16.050272058772833
Male,0,5,not_pregnant,2,15.804807977563602
Male,0,5,not_pregnant,3,12.917258801814034
Male,0,5,not_pregnant,4,13.350891322726424
Male,0,5,not_pregnant,5,12.039174324555116
Female,5,15,not_pregnant,1,15.300924321250468
Female,5,15,not_pregnant,2,14.866671405305858
Female,5,15,not_pregnant,3,13.930541543238627
Female,5,15,not_pregnant,4,13.077582018004055
Female,5,15,not_pregnant,5,12.551780648570496
Male,5,15,not_pregnant,1,16.191981060632006
Male,5,15,not_pregnant,2,15.615298281496887
Male,5,15,not_pregnant,3,13.606853423617636
Male,5,15,not_pregnant,4,13.588609524147596
Male,5,15,not_pregnant,5,12.662371842542335
Female,15,125,not_pregnant,1,16.33369006249118
Female,15,125,pregnant,1,16.549204836886343
Female,15,125,not_pregnant,2,15.425788585430173
Female,15,125,pregnant,2,17.901398980965777
Female,15,125,not_pregnant,3,14.296448045421238
Female,15,125,pregnant,3,15.616802503721575
Female,15,125,not_pregnant,4,13.826327725568769
Female,15,125,pregnant,4,18.76565298105649
Female,15,125,not_pregnant,5,13.285569360529554
Female,15,125,pregnant,5,13.375679494775117
Male,15,125,not_pregnant,1,16.33369006249118
Male,15,125,not_pregnant,2,15.425788585430173
Male,15,125,not_pregnant,3,14.296448045421238
Male,15,125,not_pregnant,4,13.826327725568769
Male,15,125,not_pregnant,5,13.285569360529554
