wealth_quintile,entity,scenario,value
1,ntd,zero,4036.9557514009443
2,ntd,zero,3566.229097505511
3,ntd,zero,3201.635575388428
4,ntd,zero,3018.984564891375
5,ntd,zero,2571.1424247238506
1,ntd,baseline,3752.308292392786
2,ntd,baseline,3351.716615665075
3,ntd,baseline,3038.825477840022
4,ntd,baseline,2885.4941358418478
5,ntd,baseline,2520.1832463035203
1,ntd,intervention,2128.7874469567537
2,ntd,intervention,2046.1255931167384
3,ntd,intervention,1986.2355274254612
4,ntd,intervention,1983.2844233181922
5,ntd,intervention,2110.351482389868
