sex,age_start,age_end,pregnant,1,2,3,4,5
Female,0.0,5.0,not_pregnant,0.2405683188095005,0.218680475560331,0.20673865415047146,0.1854025721606094,0.14860997931908773
Female,5.0,15.0,not_pregnant,0.21948161956729004,0.2091573519485812,0.21006699748847488,0.20741070799179798,0.15388332300385593
Female,15.0,30.0,not_pregnant,0.15405434545681043,0.17355167646454828,0.18013214943667055,0.1933904381631684,0.2988713904788024
Female,15.0,30.0,pregnant,0.21444712425438214,0.25739830293469773,0.17315205780918227,0.1673446718126925,0.18765784318904544
Female,30.0,50.0,not_pregnant,0.1769298555898745,0.17837202521154705,0.19827309116446742,0.20584490775054248,0.24058012028356857
Female,30.0,50.0,pregnant,0.25012004211092304,0.18554321371501373,0.21776871412537702,0.19142790000555143,0.1551401300431348
Female,50.0,125.0,not_pregnant,0.20549062020163308,0.20423902979110864,0.19529443230424692,0.19946102311111408,0.19551489459189733
Male,0.0,5.0,not_pregnant,0.236075761715935,0.23946246330454032,0.20858733204575275,0.17367403821088848,0.14220040472288348
Male,5.0,15.0,not_pregnant,0.226779256152678,0.21059522144940673,0.2052767490396049,0.20611506231795537,0.15123371104035496
Male,15.0,30.0,not_pregnant,0.1575513164722214,0.17396156971756052,0.1863537683225034,0.22176369920019848,0.2603696462875162
Male,30.0,50.0,not_pregnant,0.16760606700357325,0.19232158289336249,0.20117092922977906,0.19483104444657978,0.2440703764267054
Male,50.0,125.0,not_pregnant,0.18909477455856352,0.19784485850531094,0.2053533356766993,0.21728183027355463,0.19042520098587157
