sex,age_start,age_end,pregnant,1,2,3,4,5
Female,0.0,5.0,not_pregnant,0.25131695857011943,0.2205711759660133,0.19583786750051674,0.18445628997861932,0.14781770798473132
Female,5.0,15.0,not_pregnant,0.2690384717099719,0.2194588153267749,0.19376616323258672,0.17256921891533605,0.14516733081533045
Female,15.0,30.0,not_pregnant,0.1778534803722778,0.2022789397539502,0.21141774034564215,0.21044081990005165,0.19800901962807824
Female,15.0,30.0,pregnant,0.2211166020678911,0.2225298989080934,0.21508708933789916,0.18229638028815076,0.1589700293979656
Female,30.0,50.0,not_pregnant,0.17259664305495165,0.18713845520358802,0.19903118278525342,0.21349543175141625,0.2277382872047907
Female,30.0,50.0,pregnant,0.3161305493987006,0.18140059260035327,0.12980497126803875,0.16914689135975017,0.20351699537315715
Female,50.0,125.0,not_pregnant,0.18870763044814093,0.1875403659899776,0.19125266870058844,0.19963599632399726,0.23286333853729577
Male,0.0,5.0,not_pregnant,0.24260022345120974,0.21561001204777672,0.20022855442806362,0.18392270319191018,0.1576385068810399
Male,5.0,15.0,not_pregnant,0.26160365245740874,0.21767521780447927,0.1907181065284342,0.1765448179480128,0.153458205261665
Male,15.0,30.0,not_pregnant,0.16917186305795456,0.2057940655387031,0.2140290677327176,0.2083300691126967,0.20267493455792798
Male,30.0,50.0,not_pregnant,0.1675628236532387,0.18393942006233605,0.20341882864682465,0.21990564622330214,0.22517328141429846
Male,50.0,125.0,not_pregnant,0.17657548658738584,0.184391847737026,0.1904612530396177,0.20087586314812547,0.24769554948784514
