wealth_quintile,vehicle_name,sex,age_start,age_end,value
1,rice,Female,0,5,0.2717711274295468
1,rice,Female,5,15,0.3545798426205506
1,rice,Female,15,30,0.31826332584491523
1,rice,Female,30,50,0.3397574179673889
1,rice,Female,50,125,0.35194108602538865
1,rice,Male,0,5,0.2703262269460404
1,rice,Male,5,15,0.3593657227789584
1,rice,Male,15,30,0.33308633338146926
1,rice,Male,30,50,0.3318095611837532
1,rice,Male,50,125,0.3493616422482555
2,rice,Female,0,5,0.2655758297424425
2,rice,Female,5,15,0.35052182120045716
2,rice,Female,15,30,0.31201957946584646
2,rice,Female,30,50,0.33136037776230265
2,rice,Female,50,125,0.34285439716079513
2,rice,Male,0,5,0.27165525840854116
2,rice,Male,5,15,0.3524284204129066
2,rice,Male,15,30,0.30357866357782115
2,rice,Male,30,50,0.3123303064951787
2,rice,Male,50,125,0.33532355574258177
3,rice,Female,0,5,0.24786872085628742
3,rice,Female,5,15,0.3274596507526494
3,rice,Female,15,30,0.2970165188945059
3,rice,Female,30,50,0.306041050893458
3,rice,Female,50,125,0.31121321260952867
3,rice,Male,0,5,0.2486645758786521
3,rice,Male,5,15,0.3229458669765839
3,rice,Male,15,30,0.30514892277874317
3,rice,Male,30,50,0.2934649439832166
3,rice,Male,50,125,0.305382730490503
4,rice,Female,0,5,0.23936812076277514
4,rice,Female,5,15,0.3021590101969298
4,rice,Female,15,30,0.27753537534191125
4,rice,Female,30,50,0.2767958793155719
4,rice,Female,50,125,0.26873052362988653
4,rice,Male,0,5,0.24265470249145993
4,rice,Male,5,15,0.29812904068279644
4,rice,Male,15,30,0.2904983805407077
4,rice,Male,30,50,0.27249546300922567
4,rice,Male,50,125,0.27076610578792515
5,rice,Female,0,5,0.1432328991003026
5,rice,Female,5,15,0.1732287046601899
5,rice,Female,15,30,0.16608952653127512
5,rice,Female,30,50,0.1435201925254128
5,rice,Female,50,125,0.1320508045837717
5,rice,Male,0,5,0.1405442954252019
5,rice,Male,5,15,0.1606808456328935
5,rice,Male,15,30,0.16925251408900036
5,rice,Male,30,50,0.1442801607255174
5,rice,Male,50,125,0.13322101479467363
