sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,1,rice,23.203463203463198
Female,0,5,2,rice,31.168831168831165
Female,0,5,3,rice,32.76190476190476
Female,0,5,4,rice,35.32467532467532
Female,0,5,5,rice,36.5021645021645
Male,0,5,1,rice,26.426166426166425
Male,0,5,2,rice,35.4978354978355
Male,0,5,3,rice,37.31216931216931
Male,0,5,4,rice,40.23088023088024
Male,0,5,5,rice,41.57190957190957
Female,5,15,1,rice,24.009139009139005
Female,5,15,2,rice,32.25108225108225
Female,5,15,3,rice,33.8994708994709
Female,5,15,4,rice,36.55122655122655
Female,5,15,5,rice,37.769600769600764
Male,5,15,1,rice,27.343741649297208
Male,5,15,2,rice,36.73039923039924
Male,5,15,3,rice,38.60773074661964
Male,5,15,4,rice,41.62778579445247
Male,5,15,5,rice,43.01537865426755
Female,15,125,1,rice,24.814814814814813
Female,15,125,2,rice,33.333333333333336
Female,15,125,3,rice,35.03703703703703
Female,15,125,4,rice,37.77777777777778
Female,15,125,5,rice,39.03703703703703
Male,15,125,1,rice,28.26131687242799
Male,15,125,2,rice,37.962962962962976
Male,15,125,3,rice,39.903292181069965
Male,15,125,4,rice,43.024691358024704
Male,15,125,5,rice,44.45884773662552
