sex,age_start,age_end,value
Female,0.0,0.01917808,79075.90564376708
Female,0.01917808,0.07671233,233738.12420749143
Female,0.07671233,0.5,1706685.155192164
Female,0.5,1.0,1972513.1470156244
Female,1.0,2.0,3899170.737980293
Female,2.0,5.0,11297392.495429693
Female,5.0,10.0,17666346.873017192
Female,10.0,15.0,16510342.600538386
Female,15.0,20.0,14835478.277441664
Female,20.0,25.0,12225535.684078433
Female,25.0,30.0,9984802.005639393
Female,30.0,35.0,7985379.668478566
Female,35.0,40.0,6543191.8024091385
Female,40.0,45.0,5354753.102629001
Female,45.0,50.0,4526347.713796127
Female,50.0,55.0,3879312.2984408373
Female,55.0,60.0,3140994.480386249
Female,60.0,65.0,2323845.193222149
Female,65.0,70.0,1548646.3486348265
Female,70.0,75.0,968321.8213834884
Female,75.0,80.0,533247.3268749166
Female,80.0,85.0,353130.92276945105
Female,85.0,90.0,164145.2530045516
Female,90.0,95.0,65504.04788075869
Female,95.0,125.0,36420.485391398746
Male,0.0,0.01917808,82210.96998841013
Male,0.01917808,0.07671233,241940.10560445164
Male,0.07671233,0.5,1764433.141969165
Male,0.5,1.0,2037721.3891811736
Male,1.0,2.0,3998064.7947053793
Male,2.0,5.0,11469553.695639629
Male,5.0,10.0,17639434.782264102
Male,10.0,15.0,15759507.313228883
Male,15.0,20.0,13301671.602933388
Male,20.0,25.0,10510287.354395982
Male,25.0,30.0,8425754.018058132
Male,30.0,35.0,6802051.272716527
Male,35.0,40.0,5713454.85728125
Male,40.0,45.0,4874318.949802933
Male,45.0,50.0,4055534.5328196287
Male,50.0,55.0,3219519.0950924936
Male,55.0,60.0,2388975.160539286
Male,60.0,65.0,1654469.7592679344
Male,65.0,70.0,1165357.7226010424
Male,70.0,75.0,800981.521243604
Male,75.0,80.0,515065.0162213153
Male,80.0,85.0,326196.215781573
Male,85.0,90.0,161608.7137297604
Male,90.0,95.0,66873.08718098085
Male,95.0,125.0,24092.31460351575
