vehicle_name,wealth_quintile,value
bouillon,lowest,3.6296296296296298
bouillon,second,3.111111111111111
bouillon,middle,2.9629629629629624
bouillon,fourth,2.4444444444444446
bouillon,highest,1.7037037037037035
