scenario,wealth_quintile,value
baseline,1,2937807.6321277977
baseline,2,1743658.997322225
baseline,3,2205351.5826679156
baseline,4,1971860.1762248606
baseline,5,1248926.5363377333
intervention,1,2937807.6321277977
intervention,2,1743658.997322225
intervention,3,2205351.5826679156
intervention,4,1971860.1762248606
intervention,5,1248926.5363377333
zero,1,3017209.1382117285
zero,2,1790068.720744995
zero,3,2254598.791771456
zero,4,2008987.9549630766
zero,5,1264989.5908695522
