scenario,wealth_quintile,value
baseline,1,0.5347141272471864
baseline,2,0.5102714128371358
baseline,3,0.4814491671039189
baseline,4,0.44802498695276305
baseline,5,0.3886712364188793
intervention,1,0.5224263125838042
intervention,2,0.49732391520246705
intervention,3,0.4650265664877926
intervention,4,0.4316148163493499
intervention,5,0.3703411672549547
zero,1,0.5722942603893348
zero,2,0.5431883486692857
zero,3,0.51495785731063
zero,4,0.47905276574565003
zero,5,0.40534749462697317
