scenario,wealth_quintile,value
baseline,1,124863301.43719845
baseline,2,116924776.62879471
baseline,3,115421687.96453673
baseline,4,110075932.7965099
baseline,5,104376367.76459092
intervention,1,124863301.43719843
intervention,2,116924776.62879471
intervention,3,115421687.96453673
intervention,4,110075932.7965099
intervention,5,104376367.76459092
zero,1,131696392.14124855
zero,2,123352422.85202563
zero,3,121045766.14864708
zero,4,114934295.14616577
zero,5,107056308.18650828
