Country,Quintile,Data need,Data point name,Units,Year,Data source,Value,CI,Notes
India,Fourth,Pregnancies longer than 7 months,,,,?,,,
India,Highest,Pregnancies longer than 7 months,,,,?,,,
Ethiopia,All,Neural Tube Defect deaths,,,,GBD,,,
Ethiopia,Lowest,Neural Tube Defect deaths,,,,,,,"From RBC folate levels? Or from differential folate intake? Or assume none, since they are all pretty similar in Nigeria NFCMS. "
Ethiopia,Second,Neural Tube Defect deaths,,,,,,, 
Ethiopia,Middle,Neural Tube Defect deaths,,,,,,,
Ethiopia,Fourth,Neural Tube Defect deaths,,,,,,,
Ethiopia,Highest,Neural Tube Defect deaths,,,,,,,
Nigeria,All,Neural Tube Defect deaths,,,,GBD,,,
Nigeria,Lowest,Neural Tube Defect deaths,,,,,,,
Nigeria,Second,Neural Tube Defect deaths,,,,,,,
Nigeria,Middle,Neural Tube Defect deaths,,,,,,,
Nigeria,Fourth,Neural Tube Defect deaths,,,,,,,
Nigeria,Highest,Neural Tube Defect deaths,,,,,,,
India,All,Neural Tube Defect deaths,,,,GBD,,,
India,Lowest,Neural Tube Defect deaths,,,,,,,
India,Second,Neural Tube Defect deaths,,,,,,,
India,Middle,Neural Tube Defect deaths,,,,,,,
India,Fourth,Neural Tube Defect deaths,,,,,,,
India,Highest,Neural Tube Defect deaths,,,,,,,
Ethiopia,All,NTD stillbirth to death ratio,Ratio,,,From CHAMPS? ,,,"There is also some data on stillbirth-to-livebirth ratio among NTDs in the literature, see Blencowe et al 2018."
Nigeria,All,NTD stillbirth to death ratio,Ratio,,,,,,Assumed no variation between quintiles
India,All,NTD stillbirth to death ratio,Ratio,,,,,,
