Table,Country,Vehicle,Fortificant,Scenario,Wealth,Data need,Status,Notes
country,Nigeria,,,,Quintile,CGF prevalence,DHS 2018,
country,India,,,,Overall,CGF prevalence,GBD,
country,India,,,,Quintile,CGF prevalence,DHS 2016,
country,Ethiopia,,,,Overall,Measles prevalence,Not modeled,We have microdata on whether child has received Measles 1 vaccination.
country,Ethiopia,,,,Quintile,Measles prevalence,Not modeled,We have microdata on whether child has received Measles 1 vaccination.
country,Nigeria,,,,Overall,Measles prevalence,GBD,We have microdata on whether child has received Measles 1 vaccination.
country,Nigeria,,,,Quintile,Measles prevalence,DHS 2018,We have microdata on whether child has received Measles 1 vaccination.
country,India,,,,Overall,Measles prevalence,GBD,We have microdata on whether child has received Measles 1 vaccination.
country,India,,,,Quintile,Measles prevalence,DHS 2016,We have microdata on whether child has received Measles 1 vaccination.
country,Ethiopia,,,,Overall,LRI prevalence,Not modeled,"We have microdata on whether child has had cough in the last two weeks, or ARI prevalence in DHS final reports."
country,Ethiopia,,,,Quintile,LRI prevalence,Not modeled,"We have microdata on whether child has had cough in the last two weeks, or ARI prevalence in DHS final reports."
country,Nigeria,,,,Overall,LRI prevalence,GBD,"We have microdata on whether child has had cough in the last two weeks, or ARI prevalence in DHS final reports."
country,Nigeria,,,,Quintile,LRI prevalence,auto,"We have microdata on whether child has had cough in the last two weeks, or ARI prevalence in DHS final reports."
country,India,,,,Overall,LRI prevalence,GBD,"We have microdata on whether child has had cough in the last two weeks, or ARI prevalence in DHS final reports."
country,India,,,,Quintile,LRI prevalence,auto,"We have microdata on whether child has had cough in the last two weeks, or ARI prevalence in DHS final reports."
country,Ethiopia,,,,Overall,Malaria prevalence,Not modeled,"For India, we might have to use the DHS microdata for whether child has had fever in the last two weeks as a proxy for malaria."
country,Ethiopia,,,,Quintile,Malaria prevalence,Not modeled,"For India, we might have to use the DHS microdata for whether child has had fever in the last two weeks as a proxy for malaria."
country,Nigeria,,,,Overall,Malaria prevalence,GBD,"For India, we might have to use the DHS microdata for whether child has had fever in the last two weeks as a proxy for malaria."
country,Nigeria,,,,Quintile,Malaria prevalence,auto,"For India, we might have to use the DHS microdata for whether child has had fever in the last two weeks as a proxy for malaria."
country,India,,,,Overall,Malaria prevalence,GBD,"For India, we might have to use the DHS microdata for whether child has had fever in the last two weeks as a proxy for malaria."
country,India,,,,Quintile,Malaria prevalence,DHS 2016,"For India, we might have to use the DHS microdata for whether child has had fever in the last two weeks as a proxy for malaria."
country,Ethiopia,,,,Overall,U5 hemoglobin levels at baseline,Not modeled,
country,Ethiopia,,,,Quintile,U5 hemoglobin levels at baseline,Not modeled,
country,Nigeria,,,,Overall,U5 hemoglobin levels at baseline,GBD,
country,Nigeria,,,,Quintile,U5 hemoglobin levels at baseline,DHS 2018,
country,India,,,,Overall,U5 hemoglobin levels at baseline,GBD,
country,India,,,,Quintile,U5 hemoglobin levels at baseline,DHS 2016,
country,Ethiopia,,,,Overall,Maternal disorders incidence,Not modeled,Using DHS' maternal mortality ratio as a proxy for maternal disorders
country,Ethiopia,,,,Quintile,Maternal disorders incidence,Not modeled,Using DHS' maternal mortality ratio as a proxy for maternal disorders
country,Nigeria,,,,Overall,Maternal disorders incidence,GBD,Using DHS' maternal mortality ratio as a proxy for maternal disorders
country,Nigeria,,,,Quintile,Maternal disorders incidence,DHS 2018,Using DHS' maternal mortality ratio as a proxy for maternal disorders
country,India,,,,Overall,Maternal disorders incidence,GBD,Using DHS' maternal mortality ratio as a proxy for maternal disorders
country,India,,,,Quintile,Maternal disorders incidence,DHS 2016,Using DHS' maternal mortality ratio as a proxy for maternal disorders
country,Ethiopia,,,,Overall,Maternal hemorrhage incidence,Not modeled,Using DHS' maternal mortality ratio as a proxy for maternal hemorrhage
country,Ethiopia,,,,Quintile,Maternal hemorrhage incidence,Not modeled,Using DHS' maternal mortality ratio as a proxy for maternal hemorrhage
country,Nigeria,,,,Overall,Maternal hemorrhage incidence,GBD,Using DHS' maternal mortality ratio as a proxy for maternal hemorrhage
country,Nigeria,,,,Quintile,Maternal hemorrhage incidence,DHS 2018,Using DHS' maternal mortality ratio as a proxy for maternal hemorrhage
country,India,,,,Overall,Maternal hemorrhage incidence,GBD,Using DHS' maternal mortality ratio as a proxy for maternal hemorrhage
country,India,,,,Quintile,Maternal hemorrhage incidence,DHS 2016,Using DHS' maternal mortality ratio as a proxy for maternal hemorrhage
country,Ethiopia,,,,Overall,Neural tube defect deaths,GBD,
country,Ethiopia,,,,Quintile,Neural tube defect deaths,auto,
country,Nigeria,,,,Overall,Neural tube defect deaths,GBD,
country,Nigeria,,,,Quintile,Neural tube defect deaths,auto,
country,India,,,,Overall,Neural tube defect deaths,GBD,
country,India,,,,Quintile,Neural tube defect deaths,auto,
vehicle,,Salt,,,,Iron fortification/consumption effect on hemoglobin,Not modeled,
vehicle,,Bouillon,,,,Iron fortification/consumption effect on hemoglobin,auto,
vehicle,,Rice,,,,Iron fortification/consumption effect on hemoglobin,auto,
vehicle,,Salt,,,,Iron fortification/consumption effect on birthweight,Not modeled,
vehicle,,Bouillon,,,,Iron fortification/consumption effect on birthweight,auto,
vehicle,,Rice,,,,Iron fortification/consumption effect on birthweight,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 25% NRV,,Vehicle fortification in intervention -- amount among fortified,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 100% NRV,,Vehicle fortification in intervention -- amount among fortified,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 45 ppm,,Vehicle fortification in intervention -- amount among fortified,Complete,
scenario_definition,Nigeria,Bouillon,Folate,Intervention,,Vehicle fortification in intervention -- amount among fortified,auto,
scenario_definition,Nigeria,Bouillon,Iron,Intervention,,Vehicle fortification in intervention -- amount among fortified,auto,
scenario_definition,Nigeria,Rice,Folate,Intervention,,Vehicle fortification in intervention -- amount among fortified,auto,
scenario_definition,Nigeria,Rice,Iron,Intervention,,Vehicle fortification in intervention -- amount among fortified,auto,
scenario_definition,India,Rice,Folate,Intervention,,Vehicle fortification in intervention -- amount among fortified,auto,
scenario_definition,India,Rice,Iron,Intervention,,Vehicle fortification in intervention -- amount among fortified,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 25% NRV,,Intervention coverage % of fortifiable,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 100% NRV,,Intervention coverage % of fortifiable,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 45 ppm,,Intervention coverage % of fortifiable,Complete,
scenario_definition,Nigeria,Bouillon,Folate,Intervention,,Intervention coverage % of fortifiable,auto,
scenario_definition,Nigeria,Bouillon,Iron,Intervention,,Intervention coverage % of fortifiable,auto,
scenario_definition,Nigeria,Rice,Folate,Intervention,,Intervention coverage % of fortifiable,auto,
scenario_definition,Nigeria,Rice,Iron,Intervention,,Intervention coverage % of fortifiable,auto,
scenario_definition,India,Rice,Folate,Intervention,,Intervention coverage % of fortifiable,auto,
scenario_definition,India,Rice,Iron,Intervention,,Intervention coverage % of fortifiable,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 25% NRV,,Intervention effective % of fortified,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 100% NRV,,Intervention effective % of fortified,auto,
scenario_definition,Ethiopia,Salt,Folate,Intervention - 45 ppm,,Intervention effective % of fortified,Complete,
scenario_definition,Nigeria,Bouillon,Folate,Intervention,,Intervention effective % of fortified,auto,
scenario_definition,Nigeria,Bouillon,Iron,Intervention,,Intervention effective % of fortified,auto,
scenario_definition,Nigeria,Rice,Folate,Intervention,,Intervention effective % of fortified,auto,
scenario_definition,Nigeria,Rice,Iron,Intervention,,Intervention effective % of fortified,auto,
scenario_definition,India,Rice,Folate,Intervention,,Intervention effective % of fortified,auto,
scenario_definition,India,Rice,Iron,Intervention,,Intervention effective % of fortified,auto,
