sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0,5,not_pregnant,lowest,16.60728322665314
Female,0,5,not_pregnant,second,15.898898731169476
Female,0,5,not_pregnant,middle,15.268519544620439
Female,0,5,not_pregnant,fourth,14.286274027003923
Female,0,5,not_pregnant,highest,13.194608017177298
Male,0,5,not_pregnant,lowest,16.22448540058785
Male,0,5,not_pregnant,second,15.872406993288115
Male,0,5,not_pregnant,middle,15.215237793530507
Male,0,5,not_pregnant,fourth,14.556530870814784
Male,0,5,not_pregnant,highest,12.54371474044827
Female,5,15,not_pregnant,lowest,15.878046350860682
Female,5,15,not_pregnant,second,15.40962462932249
Female,5,15,not_pregnant,middle,15.188530278910434
Female,5,15,not_pregnant,fourth,14.539256293250386
Female,5,15,not_pregnant,highest,13.708474721711307
Male,5,15,not_pregnant,lowest,15.686647437828036
Male,5,15,not_pregnant,second,15.39637876038181
Male,5,15,not_pregnant,middle,15.161889403365468
Male,5,15,not_pregnant,fourth,14.674384715155817
Male,5,15,not_pregnant,highest,13.383028083346792
Female,15,100,not_pregnant,lowest,15.148809475068223
Female,15,100,pregnant,lowest,15.210946446267888
Female,15,100,not_pregnant,second,14.920350527475504
Female,15,100,pregnant,second,16.63678651575049
Female,15,100,not_pregnant,middle,15.108541013200428
Female,15,100,pregnant,middle,15.828476120102113
Female,15,100,not_pregnant,fourth,14.792238559496848
Female,15,100,pregnant,fourth,16.71764392209464
Female,15,100,not_pregnant,highest,14.222341426245315
Female,15,100,pregnant,highest,15.277522093179055
Male,15,100,not_pregnant,lowest,15.148809475068223
Male,15,100,not_pregnant,second,14.920350527475504
Male,15,100,not_pregnant,middle,15.108541013200428
Male,15,100,not_pregnant,fourth,14.792238559496848
Male,15,100,not_pregnant,highest,14.222341426245315
