wealth_quintile,entity,scenario,value
lowest,ntd,baseline,2439.661559518462
second,ntd,baseline,2320.6761753302267
middle,ntd,baseline,2112.2211611709936
fourth,ntd,baseline,744.534900129793
highest,ntd,baseline,293.68175446150406
fourth,ntd,intervention_100_nrv,328.45945003774574
highest,ntd,intervention_100_nrv,154.13638913549426
lowest,ntd,intervention_100_nrv,513.5877217333366
middle,ntd,intervention_100_nrv,422.09270372153435
second,ntd,intervention_100_nrv,530.9529286489513
