vehicle_name,wealth_quintile,sex,value,age_start,age_end
salt,1,Female,2.2,15,50
salt,2,Female,2.2,15,50
salt,3,Female,2.2,15,50
salt,4,Female,2.2,15,50
salt,5,Female,2.2,15,50
