wealth_quintile,entity,scenario,value
1,ntd,zero,1730.1268473919536
2,ntd,zero,1645.7463697686787
3,ntd,zero,1497.9170058705383
4,ntd,zero,1319.9984794090594
5,ntd,zero,1041.346669583361
1,ntd,baseline,1730.1268473919536
2,ntd,baseline,1645.7463697686787
3,ntd,baseline,1497.9170058705383
4,ntd,baseline,1319.9984794090594
5,ntd,baseline,1041.346669583361
1,ntd,intervention_25_nrv,928.1695113298905
2,ntd,intervention_25_nrv,835.534939196241
3,ntd,intervention_25_nrv,687.2834659324426
4,ntd,intervention_25_nrv,950.9148065778847
5,ntd,intervention_25_nrv,829.252990874823
1,ntd,intervention_100_nrv,306.1672138101633
2,ntd,intervention_100_nrv,260.1381080105423
3,ntd,intervention_100_nrv,194.24285360525448
4,ntd,intervention_100_nrv,463.37055113464316
5,ntd,intervention_100_nrv,481.901377700154
