scenario,wealth_quintile,value
zero,1,7595.550633139525
zero,2,7766.92327449926
zero,3,7031.20279693764
zero,4,6232.448704163242
zero,5,5474.075521134529
baseline,1,7595.550633139525
baseline,2,7766.92327449926
baseline,3,7031.20279693764
baseline,4,6232.448704163242
baseline,5,5474.075521134529
intervention,1,2666.4674932991893
intervention,2,2903.168529273472
intervention,3,3222.2048843408884
intervention,4,3225.302290368686
intervention,5,2975.1864656836274
