vehicle_name,wealth_quintile,sex,value
rice,1,Female,0.08164800000000001
rice,1,Male,0.08164800000000001
rice,2,Female,0.10886400000000002
rice,2,Male,0.10886400000000002
rice,3,Female,0.13267800000000002
rice,3,Male,0.13267800000000002
rice,4,Female,0.153819
rice,4,Male,0.153819
rice,5,Female,0.16426800000000003
rice,5,Male,0.16426800000000003
