vehicle_name,wealth_quintile,sex,value,age_start,age_end
salt,1,Female,0.995,15,50
salt,2,Female,0.997,15,50
salt,3,Female,0.995,15,50
salt,4,Female,0.994,15,50
salt,5,Female,0.985,15,50
