scenario,wealth_quintile,value
zero,1,12734.955656846218
zero,2,13022.28479122008
zero,3,11788.751093649526
zero,4,10449.533116769044
zero,5,9178.019131321482
baseline,1,12734.955656846218
baseline,2,13022.28479122008
baseline,3,11788.751093649526
baseline,4,10449.533116769044
baseline,5,9178.019131321482
intervention_25_nrv,1,8202.786031673484
intervention_25_nrv,2,8649.125643589914
intervention_25_nrv,3,7942.541361309914
intervention_25_nrv,4,7160.97560851296
intervention_25_nrv,5,6285.281784768742
intervention_100_nrv,1,4385.035942405521
intervention_100_nrv,2,4727.286925426651
intervention_100_nrv,3,4388.650209375803
intervention_100_nrv,4,4010.431203942271
intervention_100_nrv,5,3518.0470716615064
