vehicle_name,wealth_quintile,sex,value
salt,1,Female,1.0
salt,2,Female,1.0
salt,3,Female,1.0
salt,4,Female,1.0
salt,5,Female,1.0
salt,1,Male,1.0
salt,2,Male,1.0
salt,3,Male,1.0
salt,4,Male,1.0
salt,5,Male,1.0
