vehicle_name,wealth_quintile,sex,value,age_start,age_end
bouillon,1,Female,0.963,15,50
bouillon,2,Female,0.981,15,50
bouillon,3,Female,0.992,15,50
bouillon,4,Female,0.986,15,50
bouillon,5,Female,0.986,15,50
