vehicle_name,wealth_quintile,sex,value,age_start,age_end
salt,fourth,Female,0.97,15,50
salt,highest,Female,0.97,15,50
salt,lowest,Female,0.97,15,50
salt,middle,Female,0.97,15,50
salt,second,Female,0.97,15,50
