sex,age_start,age_end,wealth_quintile,value,vehicle_name
Female,0.0,5.0,lowest,0.56084507220235,rice
Female,0.0,5.0,second,0.53533540239816,rice
Female,0.0,5.0,middle,0.4925099569790905,rice
Female,0.0,5.0,fourth,0.45460956639657346,rice
Female,0.0,5.0,highest,0.2935198384593876,rice
Female,5.0,15.0,lowest,0.7135769889241423,rice
Female,5.0,15.0,second,0.6712047858364781,rice
Female,5.0,15.0,middle,0.6240881389860766,rice
Female,5.0,15.0,fourth,0.5685397913661363,rice
Female,5.0,15.0,highest,0.36000557376358827,rice
Female,15.0,30.0,lowest,0.6422563424361907,rice
Female,15.0,30.0,second,0.6121805484502008,rice
Female,15.0,30.0,middle,0.5452584435666054,rice
Female,15.0,30.0,fourth,0.5141323446463416,rice
Female,15.0,30.0,highest,0.33336380199962723,rice
Female,30.0,50.0,lowest,0.6904753893525926,rice
Female,30.0,50.0,second,0.6458094997832017,rice
Female,30.0,50.0,middle,0.5882346284505408,rice
Female,30.0,50.0,fourth,0.5376859517810819,rice
Female,30.0,50.0,highest,0.3127644752123307,rice
Female,50.0,100.0,lowest,0.6969310497729564,rice
Female,50.0,100.0,second,0.6509670037954647,rice
Female,50.0,100.0,middle,0.5989060477959395,rice
Female,50.0,100.0,fourth,0.5402921665496336,rice
Female,50.0,100.0,highest,0.311943766094555,rice
Male,0.0,5.0,lowest,0.5650987958446106,rice
Male,0.0,5.0,second,0.5377317299670696,rice
Male,0.0,5.0,middle,0.4880148558825435,rice
Male,0.0,5.0,fourth,0.4541725674933315,rice
Male,0.0,5.0,highest,0.2785137154991076,rice
Male,5.0,15.0,lowest,0.7174461317179526,rice
Male,5.0,15.0,second,0.6674764347972144,rice
Male,5.0,15.0,middle,0.6110788819683111,rice
Male,5.0,15.0,fourth,0.5604544317100913,rice
Male,5.0,15.0,highest,0.3453030378456097,rice
Male,15.0,30.0,lowest,0.67897590409424,rice
Male,15.0,30.0,second,0.6102567029071836,rice
Male,15.0,30.0,middle,0.5302210452110646,rice
Male,15.0,30.0,fourth,0.515154235280825,rice
Male,15.0,30.0,highest,0.3254382176695039,rice
Male,30.0,50.0,lowest,0.6673643270240949,rice
Male,30.0,50.0,second,0.6223289453668926,rice
Male,30.0,50.0,middle,0.5545885344845137,rice
Male,30.0,50.0,fourth,0.5216443617507732,rice
Male,30.0,50.0,highest,0.30673358935128525,rice
Male,50.0,100.0,lowest,0.6969718546438339,rice
Male,50.0,100.0,second,0.6490293031313166,rice
Male,50.0,100.0,middle,0.5933576800883719,rice
Male,50.0,100.0,fourth,0.536022918001717,rice
Male,50.0,100.0,highest,0.3099456299854794,rice
