sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0.0,0.01917808,not_pregnant,1,48678.7110212368
Female,0.0,0.01917808,not_pregnant,2,42723.42222965504
Female,0.0,0.01917808,not_pregnant,3,37932.71657158423
Female,0.0,0.01917808,not_pregnant,4,35728.16767720603
Female,0.0,0.01917808,not_pregnant,5,28631.476091983186
Female,0.01917808,0.07671233,not_pregnant,1,144917.69061847325
Female,0.01917808,0.07671233,not_pregnant,2,127188.65300559155
Female,0.01917808,0.07671233,not_pregnant,3,112926.6073220566
Female,0.01917808,0.07671233,not_pregnant,4,106363.61237156541
Female,0.01917808,0.07671233,not_pregnant,5,85236.59125727632
Female,0.07671233,0.5,not_pregnant,1,1069976.990495421
Female,0.07671233,0.5,not_pregnant,2,939077.4279337116
Female,0.07671233,0.5,not_pregnant,3,833775.8553399811
Female,0.07671233,0.5,not_pregnant,4,785319.0136956384
Female,0.07671233,0.5,not_pregnant,5,629330.9740468846
Female,0.5,1.0,not_pregnant,1,1261924.9416314852
Female,0.5,1.0,not_pregnant,2,1107542.721908435
Female,0.5,1.0,not_pregnant,3,983350.6299013728
Female,0.5,1.0,not_pregnant,4,926200.8990128888
Female,0.5,1.0,not_pregnant,5,742229.4682461204
Female,1.0,2.0,not_pregnant,1,2575421.4958331133
Female,1.0,2.0,not_pregnant,2,2260347.853865837
Female,1.0,2.0,not_pregnant,3,2006888.259863395
Female,1.0,2.0,not_pregnant,4,1890253.2362137388
Female,1.0,2.0,not_pregnant,5,1514791.937538281
Female,2.0,5.0,not_pregnant,1,8122207.861715913
Female,2.0,5.0,not_pregnant,2,7128547.749789945
Female,2.0,5.0,not_pregnant,3,6329202.279401994
Female,2.0,5.0,not_pregnant,4,5961365.827166353
Female,2.0,5.0,not_pregnant,5,4777258.791946717
Female,5.0,10.0,not_pregnant,1,15698713.889139753
Female,5.0,10.0,not_pregnant,2,12805682.140428616
Female,5.0,10.0,not_pregnant,3,11306485.420657339
Female,5.0,10.0,not_pregnant,4,10069618.581333067
Female,5.0,10.0,not_pregnant,5,8470685.91356224
Female,10.0,15.0,not_pregnant,1,16907626.62208117
Female,10.0,15.0,not_pregnant,2,13791810.832427664
Female,10.0,15.0,not_pregnant,3,12177165.292038709
Female,10.0,15.0,not_pregnant,4,10845050.900490016
Female,10.0,15.0,not_pregnant,5,9122989.034057803
Female,15.0,20.0,not_pregnant,1,11351886.991876438
