sex,age_start,age_end,pregnant,wealth_quintile,value
Female,40.0,45.0,pregnant,4,73706.08972742823
Female,40.0,45.0,pregnant,5,94186.80192868628
Female,45.0,50.0,not_pregnant,1,725853.8516906095
Female,45.0,50.0,not_pregnant,2,763732.2883971924
Female,45.0,50.0,not_pregnant,3,816694.3089612845
Female,45.0,50.0,not_pregnant,4,930529.7698295818
Female,45.0,50.0,not_pregnant,5,1098875.6387972445
Female,45.0,50.0,pregnant,1,47265.06478895218
Female,45.0,50.0,pregnant,2,37570.65307119026
Female,45.0,50.0,pregnant,3,34703.21844551511
Female,45.0,50.0,pregnant,4,31223.432140686375
Female,45.0,50.0,pregnant,5,39899.48767386899
Female,50.0,55.0,not_pregnant,1,757409.4704996948
Female,50.0,55.0,not_pregnant,2,714242.6692558619
Female,50.0,55.0,not_pregnant,3,884139.8736949355
Female,50.0,55.0,not_pregnant,4,745422.3567091806
Female,50.0,55.0,not_pregnant,5,761595.5258612746
Female,55.0,60.0,not_pregnant,1,615877.8273511266
Female,55.0,60.0,not_pregnant,2,580777.2948132773
Female,55.0,60.0,not_pregnant,3,718927.0344434592
Female,55.0,60.0,not_pregnant,4,606130.6590292914
Female,55.0,60.0,not_pregnant,5,619281.6647490936
Female,60.0,65.0,not_pregnant,1,455653.3727260865
Female,60.0,65.0,not_pregnant,2,429684.4624567542
Female,60.0,65.0,not_pregnant,3,531893.6864427229
Female,60.0,65.0,not_pregnant,4,448441.9909826081
Female,60.0,65.0,not_pregnant,5,458171.6806139765
Female,65.0,70.0,not_pregnant,1,303654.44908874406
Female,65.0,70.0,not_pregnant,2,286348.36597101955
Female,65.0,70.0,not_pregnant,3,354462.17234002164
Female,65.0,70.0,not_pregnant,4,298848.6728527785
Female,65.0,70.0,not_pregnant,5,305332.68838226236
Female,70.0,75.0,not_pregnant,1,189865.9622786134
Female,70.0,75.0,not_pregnant,2,179044.9908280679
Female,70.0,75.0,not_pregnant,3,221634.49817604083
Female,70.0,75.0,not_pregnant,4,186861.0554436386
Female,70.0,75.0,not_pregnant,5,190915.31465712743
Female,75.0,80.0,not_pregnant,1,104557.71481525632
Female,75.0,80.0,not_pregnant,2,98598.68965154687
Female,75.0,80.0,not_pregnant,3,122052.40146997747
Female,75.0,80.0,not_pregnant,4,102902.93589581699
Female,75.0,80.0,not_pregnant,5,105135.5850423188
Female,80.0,85.0,not_pregnant,1,69240.97028626544
Female,80.0,85.0,not_pregnant,2,65294.741306179596
Female,80.0,85.0,not_pregnant,3,80826.4289104082
Female,80.0,85.0,not_pregnant,4,68145.13055608686
Female,80.0,85.0,not_pregnant,5,69623.65171051087
Female,85.0,90.0,not_pregnant,1,32185.16378227215
Female,85.0,90.0,not_pregnant,2,30350.84480145329
Female,85.0,90.0,not_pregnant,3,37570.41303237886
Female,85.0,90.0,not_pregnant,4,31675.78644326172
Female,85.0,90.0,not_pregnant,5,32363.044945185542
Female,90.0,95.0,not_pregnant,1,12843.859148248139
Female,90.0,95.0,not_pregnant,2,12111.8530978215
Female,90.0,95.0,not_pregnant,3,14992.904693409462
Female,90.0,95.0,not_pregnant,4,12640.586272589728
Female,90.0,95.0,not_pregnant,5,12914.844668689846
Female,95.0,125.0,not_pregnant,1,7141.231719442503
Female,95.0,125.0,not_pregnant,2,6734.2337318599675
Female,95.0,125.0,not_pregnant,3,8336.108744836069
Female,95.0,125.0,not_pregnant,4,7028.211272036544
Female,95.0,125.0,not_pregnant,5,7180.699923223655
Male,0.0,0.01917808,not_pregnant,1,17672.34253047323
Male,0.0,0.01917808,not_pregnant,2,18350.357086915556
Male,0.0,0.01917808,not_pregnant,3,16700.101755536332
Male,0.0,0.01917808,not_pregnant,4,15471.618528191197
Male,0.0,0.01917808,not_pregnant,5,14016.550087293803
Male,0.01917808,0.07671233,not_pregnant,1,52008.24681552236
Male,0.01917808,0.07671233,not_pregnant,2,54003.587746424135
Male,0.01917808,0.07671233,not_pregnant,3,49147.02238532347
Male,0.01917808,0.07671233,not_pregnant,4,45531.697547299045
Male,0.01917808,0.07671233,not_pregnant,5,41249.55110988261
Male,0.07671233,0.5,not_pregnant,1,379288.39498419844
Male,0.07671233,0.5,not_pregnant,2,393840.119094655
Male,0.07671233,0.5,not_pregnant,3,358421.91152688995
Male,0.07671233,0.5,not_pregnant,4,332055.88615355385
Male,0.07671233,0.5,not_pregnant,5,300826.8302098677
Male,0.5,1.0,not_pregnant,1,438035.34219774103
Male,0.5,1.0,not_pregnant,2,454840.9432511465
Male,0.5,1.0,not_pregnant,3,413936.9059087361
Male,0.5,1.0,not_pregnant,4,383487.11862409016
Male,0.5,1.0,not_pregnant,5,347421.0791994596
Male,1.0,2.0,not_pregnant,1,859437.2566218397
Male,1.0,2.0,not_pregnant,2,892410.3030266201
Male,1.0,2.0,not_pregnant,3,812155.4691085641
Male,1.0,2.0,not_pregnant,4,752412.1581753998
Male,1.0,2.0,not_pregnant,5,681649.6077729553
Male,2.0,5.0,not_pregnant,1,2465533.2689733966
Male,2.0,5.0,not_pregnant,2,2560125.564413249
