sex,age_start,age_end,pregnant,wealth_quintile,value
Female,40.0,45.0,pregnant,5,32141.683705346477
Female,45.0,50.0,not_pregnant,1,338134.8900800557
Female,45.0,50.0,not_pregnant,2,340891.0550295789
Female,45.0,50.0,not_pregnant,3,378924.45943174575
Female,45.0,50.0,not_pregnant,4,393395.13969372265
Female,45.0,50.0,not_pregnant,5,459778.4373718015
Female,45.0,50.0,pregnant,1,11770.925073936063
Female,45.0,50.0,pregnant,2,8731.868298855346
Female,45.0,50.0,pregnant,3,10248.435894155285
Female,45.0,50.0,pregnant,4,9008.808126727352
Female,45.0,50.0,pregnant,5,7301.065645465472
Female,50.0,55.0,not_pregnant,1,294136.3222293693
Female,50.0,55.0,not_pregnant,2,292344.8136927365
Female,50.0,55.0,not_pregnant,3,279541.64532414614
Female,50.0,55.0,not_pregnant,4,285505.64355902444
Female,50.0,55.0,not_pregnant,5,279857.21187611885
Female,55.0,60.0,not_pregnant,1,222463.78713761913
Female,55.0,60.0,not_pregnant,2,221108.81754145373
Female,55.0,60.0,not_pregnant,3,211425.41189794362
Female,55.0,60.0,not_pregnant,4,215936.15584060596
Female,55.0,60.0,not_pregnant,5,211664.08398615674
Female,60.0,65.0,not_pregnant,1,168951.72833057662
Female,60.0,65.0,not_pregnant,2,167922.68689397682
Female,60.0,65.0,not_pregnant,3,160568.55460733626
Female,60.0,65.0,not_pregnant,4,163994.27164189363
Female,60.0,65.0,not_pregnant,5,160749.81584686975
Female,65.0,70.0,not_pregnant,1,128029.24422326127
Female,65.0,70.0,not_pregnant,2,127249.45109119867
Female,65.0,70.0,not_pregnant,3,121676.59304541285
Female,65.0,70.0,not_pregnant,4,124272.55324771965
Female,65.0,70.0,not_pregnant,5,121813.9502641507
Female,70.0,75.0,not_pregnant,1,87572.8122749827
Female,70.0,75.0,not_pregnant,2,87039.4288438632
Female,70.0,75.0,not_pregnant,3,83227.55871653758
Female,70.0,75.0,not_pregnant,4,85003.21190303538
Female,70.0,75.0,not_pregnant,5,83321.51192233927
Female,75.0,80.0,not_pregnant,1,59990.54447791514
Female,75.0,80.0,not_pregnant,2,59625.15753170308
Female,75.0,80.0,not_pregnant,3,57013.88859472626
Female,75.0,80.0,not_pregnant,4,58230.27526422665
Female,75.0,80.0,not_pregnant,5,57078.24993958968
Female,80.0,85.0,not_pregnant,1,39188.98091192708
Female,80.0,85.0,not_pregnant,2,38950.29092861074
Female,80.0,85.0,not_pregnant,3,37244.47262978258
Female,80.0,85.0,not_pregnant,4,38039.08041985059
Female,80.0,85.0,not_pregnant,5,37286.51684753837
Female,85.0,90.0,not_pregnant,1,20862.229930921654
Female,85.0,90.0,not_pregnant,2,20735.163464831498
Female,85.0,90.0,not_pregnant,3,19827.07214062725
Female,85.0,90.0,not_pregnant,4,20250.081109871844
Female,85.0,90.0,not_pregnant,5,19849.454354139216
Female,90.0,95.0,not_pregnant,1,8027.815330004402
Female,90.0,95.0,not_pregnant,2,7978.9199756829485
Female,90.0,95.0,not_pregnant,3,7629.485160822349
Female,90.0,95.0,not_pregnant,4,7792.259605322066
Female,90.0,95.0,not_pregnant,5,7638.09786796563
Female,95.0,125.0,not_pregnant,1,1928.2680451754086
Female,95.0,125.0,not_pregnant,2,1916.5234614474796
Female,95.0,125.0,not_pregnant,3,1832.5897933610827
Female,95.0,125.0,not_pregnant,4,1871.6879473416388
Female,95.0,125.0,not_pregnant,5,1834.6585514582912
Male,0.0,0.01917808,not_pregnant,1,8413.789805565511
Male,0.0,0.01917808,not_pregnant,2,8534.492562568525
Male,0.0,0.01917808,not_pregnant,3,7434.096389990384
Male,0.0,0.01917808,not_pregnant,4,6189.779253782383
Male,0.0,0.01917808,not_pregnant,5,5068.052335861325
Male,0.01917808,0.07671233,not_pregnant,1,24829.543062104003
Male,0.01917808,0.07671233,not_pregnant,2,25185.743344257306
Male,0.01917808,0.07671233,not_pregnant,3,21938.415471349148
Male,0.01917808,0.07671233,not_pregnant,4,18266.369148543024
Male,0.01917808,0.07671233,not_pregnant,5,14956.093106940616
Male,0.07671233,0.5,not_pregnant,1,180813.4811809631
Male,0.07671233,0.5,not_pregnant,2,183407.39975822755
Male,0.07671233,0.5,not_pregnant,3,159759.73714245242
Male,0.07671233,0.5,not_pregnant,4,133019.19354792734
Male,0.07671233,0.5,not_pregnant,5,108913.13032900354
Male,0.5,1.0,not_pregnant,1,208196.05122281247
Male,0.5,1.0,not_pregnant,2,211182.7953607646
Male,0.5,1.0,not_pregnant,3,183953.90764123507
Male,0.5,1.0,not_pregnant,4,153163.75002926082
Male,0.5,1.0,not_pregnant,5,125407.04107189897
Male,1.0,2.0,not_pregnant,1,403879.29619693634
Male,1.0,2.0,not_pregnant,2,409673.2779428507
Male,1.0,2.0,not_pregnant,3,356851.9878953284
Male,1.0,2.0,not_pregnant,4,297122.19420770294
Male,1.0,2.0,not_pregnant,5,243276.98430770767
Male,2.0,5.0,not_pregnant,1,1155849.5820601305
Male,2.0,5.0,not_pregnant,2,1172431.1980095988
Male,2.0,5.0,not_pregnant,3,1021263.5927369205
Male,2.0,5.0,not_pregnant,4,850324.7560090391
Male,2.0,5.0,not_pregnant,5,696226.8263927064
Male,5.0,10.0,not_pregnant,1,1735150.854214969
Male,5.0,10.0,not_pregnant,2,1611322.325466643
Male,5.0,10.0,not_pregnant,3,1570629.2210727676
Male,5.0,10.0,not_pregnant,4,1577043.387984269
Male,5.0,10.0,not_pregnant,5,1157130.9799212993
Male,10.0,15.0,not_pregnant,1,1644451.7719111135
Male,10.0,15.0,not_pregnant,2,1527095.9564103
Male,10.0,15.0,not_pregnant,3,1488529.9450098977
Male,10.0,15.0,not_pregnant,4,1494608.8332617923
Male,10.0,15.0,not_pregnant,5,1096645.9115888944
Male,15.0,20.0,not_pregnant,1,1038205.7058274226
Male,15.0,20.0,not_pregnant,2,1146343.2887741695
Male,15.0,20.0,not_pregnant,3,1228003.3572996315
Male,15.0,20.0,not_pregnant,4,1461341.8853636568
Male,15.0,20.0,not_pregnant,5,1715740.9944437244
Male,20.0,25.0,not_pregnant,1,868532.1226283716
Male,20.0,25.0,not_pregnant,2,958996.8194851349
Male,20.0,25.0,not_pregnant,3,1027311.2125310418
Male,20.0,25.0,not_pregnant,4,1222515.3093038597
Male,20.0,25.0,not_pregnant,5,1435338.0639505251
Male,25.0,30.0,not_pregnant,1,725034.7072702526
Male,25.0,30.0,not_pregnant,2,800552.9791855682
Male,25.0,30.0,not_pregnant,3,857580.5832015191
Male,25.0,30.0,not_pregnant,4,1020533.3876796466
Male,25.0,30.0,not_pregnant,5,1198193.9250340234
Male,30.0,35.0,not_pregnant,1,642994.0881473374
Male,30.0,35.0,not_pregnant,2,737811.2441534338
Male,30.0,35.0,not_pregnant,3,771760.3575716424
Male,30.0,35.0,not_pregnant,4,747438.3953180594
Male,30.0,35.0,not_pregnant,5,936337.2814596331
Male,35.0,40.0,not_pregnant,1,528294.4427246101
Male,35.0,40.0,not_pregnant,2,606197.7664352553
Male,35.0,40.0,not_pregnant,3,634090.9123986088
Male,35.0,40.0,not_pregnant,4,614107.5910406349
Male,35.0,40.0,not_pregnant,5,769310.0005573382
Male,40.0,45.0,not_pregnant,1,430245.3948393026
Male,40.0,45.0,not_pregnant,2,493690.2156788293
Male,40.0,45.0,not_pregnant,3,516406.5205038815
Male,40.0,45.0,not_pregnant,4,500132.0127814068
