scenario,wealth_quintile,value
baseline,1,7917202.430076606
baseline,2,5775458.9344058
baseline,3,4941006.318926696
baseline,4,4714339.930251096
baseline,5,3542162.2225858844
intervention_100_nrv,1,7613612.299028358
intervention_100_nrv,2,5508477.5164574245
intervention_100_nrv,3,4648171.724086429
intervention_100_nrv,4,4585266.042478536
intervention_100_nrv,5,3429267.489005924
intervention_25_nrv,1,7837679.494856577
intervention_25_nrv,2,5704307.522249656
intervention_25_nrv,3,4861949.572398725
intervention_25_nrv,4,4680938.087135381
intervention_25_nrv,5,3513039.726443453
zero,1,7917202.430076606
zero,2,5775458.9344058
zero,3,4941006.318926696
zero,4,4714339.930251096
zero,5,3542162.2225858844
