scenario,wealth_quintile,value
<<<<<<< HEAD
baseline,1,0.5279784756128054
baseline,2,0.5141055294892446
baseline,3,0.49848672960004187
baseline,4,0.5087066283117551
baseline,5,0.4538579666193988
intervention,1,0.5226999095268222
intervention,2,0.5068944349121307
intervention,3,0.4880665946288083
intervention,4,0.4983985329457072
intervention,5,0.4394083248488904
zero,1,0.5279784756128054
zero,2,0.5141055294892446
zero,3,0.49848672960004187
zero,4,0.5087066283117551
zero,5,0.4538579666193988
=======
baseline,1,0.5431421629713868
baseline,2,0.5600625246639396
baseline,3,0.508918885942977
baseline,4,0.4492406659259298
baseline,5,0.4208567523402047
intervention,1,0.5376471624231622
intervention,2,0.5524823475672742
intervention,3,0.49899872837848996
intervention,4,0.4386426586154883
intervention,5,0.40904327069186885
zero,1,0.5431421629713868
zero,2,0.5600625246639396
zero,3,0.508918885942977
zero,4,0.4492406659259298
zero,5,0.4208567523402047
>>>>>>> main
