scenario,wealth_quintile,value
<<<<<<< HEAD
baseline,1,174653.76926115446
baseline,2,180322.59078508106
baseline,3,158254.73658492902
baseline,4,139955.24004245186
baseline,5,106414.57698390775
intervention,1,174640.741231223
intervention,2,180303.04874018385
intervention,3,158228.6805250661
intervention,4,139927.5554788475
intervention,5,106395.03493901055
zero,1,174653.76926115446
zero,2,180322.59078508106
zero,3,158254.73658492902
zero,4,139955.24004245186
zero,5,106414.57698390775
=======
baseline,1,191414.3297679779
baseline,2,194285.38186412342
baseline,3,161615.96830724573
baseline,4,129654.95387789118
baseline,5,113172.8675108527
intervention,1,191396.41622682216
intervention,2,194251.18328555336
intervention,3,161591.54075112424
intervention,4,129625.6408105454
intervention,5,113141.92593976547
zero,1,191414.3297679779
zero,2,194285.38186412342
zero,3,161615.96830724573
zero,4,129654.95387789118
zero,5,113172.8675108527
>>>>>>> main
