sex,age_start,age_end,wealth_quintile,value
female,0.0,5.0,lowest,0.904068685263643
female,0.0,5.0,second,0.9120379386664116
female,0.0,5.0,middle,0.9367896685800832
female,0.0,5.0,fourth,0.9439316567792669
female,0.0,5.0,highest,0.9685022458706757
female,5.0,15.0,lowest,0.9156584877455054
female,5.0,15.0,second,0.9233623943029329
female,5.0,15.0,middle,0.9418020131258713
female,5.0,15.0,fourth,0.9503437802623415
female,5.0,15.0,highest,0.9680461387135232
female,15.0,30.0,lowest,0.8932743665332591
female,15.0,30.0,second,0.9074307870170717
female,15.0,30.0,middle,0.931872940382337
female,15.0,30.0,fourth,0.9439898354239411
female,15.0,30.0,highest,0.9666621897214679
female,30.0,50.0,lowest,0.8931930943624802
female,30.0,50.0,second,0.9114870502045651
female,30.0,50.0,middle,0.9368767861733786
female,30.0,50.0,fourth,0.9451046157360697
female,30.0,50.0,highest,0.9666811351784727
female,50.0,100.0,lowest,0.888275295379957
female,50.0,100.0,second,0.90972159823739
female,50.0,100.0,middle,0.9307547349881203
female,50.0,100.0,fourth,0.9385370041634613
female,50.0,100.0,highest,0.9630717390251694
male,0.0,5.0,lowest,0.9042591909377723
male,0.0,5.0,second,0.9163678609648888
male,0.0,5.0,middle,0.925686529441564
male,0.0,5.0,fourth,0.9478889376997002
male,0.0,5.0,highest,0.964339193443232
male,5.0,15.0,lowest,0.9137276328625387
male,5.0,15.0,second,0.9209060095826483
male,5.0,15.0,middle,0.9402700627340267
male,5.0,15.0,fourth,0.949624876638619
male,5.0,15.0,highest,0.965495534017351
male,15.0,30.0,lowest,0.8968072090041252
male,15.0,30.0,second,0.9075472046943953
male,15.0,30.0,middle,0.9352387385200434
male,15.0,30.0,fourth,0.9434311274688285
male,15.0,30.0,highest,0.9634555130943911
male,30.0,50.0,lowest,0.8930525125708281
male,30.0,50.0,second,0.9137395601625053
male,30.0,50.0,middle,0.9360992381398864
male,30.0,50.0,fourth,0.9472463694698556
male,30.0,50.0,highest,0.9667602024772102
male,50.0,100.0,lowest,0.881223388663568
male,50.0,100.0,second,0.8987706388629547
male,50.0,100.0,middle,0.9245245552906335
male,50.0,100.0,fourth,0.9340007128228054
male,50.0,100.0,highest,0.9625295250206635
