sex,age_start,age_end,wealth_quintile,value
Female,0,5,1,0.5030390515448786
Female,0,5,2,0.5276134718100095
Female,0,5,3,0.5001799537282485
Female,0,5,4,0.4304523197595546
Female,0,5,5,0.24530321413450937
Female,5,15,1,0.6154697789610752
Female,5,15,2,0.6061338477373348
Female,5,15,3,0.5573324960575443
Female,5,15,4,0.4773387718923989
Female,5,15,5,0.27096493870772154
Female,15,30,1,0.5383900283196364
Female,15,30,2,0.5663151792122986
Female,15,30,3,0.5094657687971336
Female,15,30,4,0.4446880235644063
Female,15,30,5,0.2636712192194888
Female,30,50,1,0.5811905216130366
Female,30,50,2,0.584175911296949
Female,30,50,3,0.5284260648194077
Female,30,50,4,0.45041415237917254
Female,30,50,5,0.23993654818566065
Female,50,125,1,0.6106900713617232
Female,50,125,2,0.5981194708482573
Female,50,125,3,0.5386711415669134
Female,50,125,4,0.44994207340266745
Female,50,125,5,0.23191214504214366
Male,0,5,1,0.5136265792644189
Male,0,5,2,0.5410637836339843
Male,0,5,3,0.4958659320646507
Male,0,5,4,0.4295820924780049
Male,0,5,5,0.24433284423423798
Male,5,15,1,0.6195266064718841
Male,5,15,2,0.6092929046105537
Male,5,15,3,0.5484921045046706
Male,5,15,4,0.47824524393235823
Male,5,15,5,0.26459875148012274
Male,15,30,1,0.5724934498688942
Male,15,30,2,0.5690443071049932
Male,15,30,3,0.503690976210838
Male,15,30,4,0.45069470232768327
Male,15,30,5,0.2619775067829644
Male,30,50,1,0.5610898444383777
Male,30,50,2,0.5645973441101375
Male,30,50,3,0.5017270465248983
Male,30,50,4,0.43992061868827764
Male,30,50,5,0.23738594793309403
Male,50,125,1,0.6017174009219848
Male,50,125,2,0.5880809141129287
Male,50,125,3,0.5290787930485338
Male,50,125,4,0.44624593684782654
Male,50,125,5,0.231158901116671
