sex,age_start,age_end,wealth_quintile,value
female,0.0,5.0,lowest,0.5030390515448786
female,0.0,5.0,second,0.5276134718100095
female,0.0,5.0,middle,0.5001799537282485
female,0.0,5.0,fourth,0.4304523197595546
female,0.0,5.0,highest,0.24530321413450937
female,5.0,15.0,lowest,0.6154697789610752
female,5.0,15.0,second,0.6061338477373348
female,5.0,15.0,middle,0.5573324960575443
female,5.0,15.0,fourth,0.4773387718923989
female,5.0,15.0,highest,0.27096493870772154
female,15.0,30.0,lowest,0.5383900283196364
female,15.0,30.0,second,0.5663151792122986
female,15.0,30.0,middle,0.5094657687971336
female,15.0,30.0,fourth,0.4446880235644063
female,15.0,30.0,highest,0.2636712192194888
female,30.0,50.0,lowest,0.5811905216130366
female,30.0,50.0,second,0.584175911296949
female,30.0,50.0,middle,0.5284260648194077
female,30.0,50.0,fourth,0.45041415237917254
female,30.0,50.0,highest,0.23993654818566065
female,50.0,100.0,lowest,0.6108021715378338
female,50.0,100.0,second,0.5980644852155006
female,50.0,100.0,middle,0.5387733588655891
female,50.0,100.0,fourth,0.4500571918430599
female,50.0,100.0,highest,0.2319096796596787
male,0.0,5.0,lowest,0.5136265792644189
male,0.0,5.0,second,0.5410637836339843
male,0.0,5.0,middle,0.4958659320646507
male,0.0,5.0,fourth,0.4295820924780049
male,0.0,5.0,highest,0.24433284423423798
male,5.0,15.0,lowest,0.6195266064718841
male,5.0,15.0,second,0.6092929046105537
male,5.0,15.0,middle,0.5484921045046706
male,5.0,15.0,fourth,0.47824524393235823
male,5.0,15.0,highest,0.26459875148012274
male,15.0,30.0,lowest,0.5724934498688942
male,15.0,30.0,second,0.5690443071049932
male,15.0,30.0,middle,0.503690976210838
male,15.0,30.0,fourth,0.45069470232768327
male,15.0,30.0,highest,0.2619775067829644
male,30.0,50.0,lowest,0.5610898444383777
male,30.0,50.0,second,0.5645973441101375
male,30.0,50.0,middle,0.5017270465248983
male,30.0,50.0,fourth,0.43992061868827764
male,30.0,50.0,highest,0.23738594793309403
male,50.0,100.0,lowest,0.6016883816788037
male,50.0,100.0,second,0.5880598698309843
male,50.0,100.0,middle,0.529181082844606
male,50.0,100.0,fourth,0.44628058651337715
male,50.0,100.0,highest,0.23118383466922082
