sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0,5,not_pregnant,1,104.01801922621847
Female,0,5,not_pregnant,2,104.9157480048425
Female,0,5,not_pregnant,3,106.18165941475701
Female,0,5,not_pregnant,4,108.01415123875125
Female,0,5,not_pregnant,5,110.05703527193216
Male,0,5,not_pregnant,1,103.08065994477816
Male,0,5,not_pregnant,2,102.58218676885522
Male,0,5,not_pregnant,3,106.71566978220874
Male,0,5,not_pregnant,4,107.29363946461197
Male,0,5,not_pregnant,5,109.76167178147372
Female,5,15,not_pregnant,1,112.1529344089976
Female,5,15,not_pregnant,2,112.86443929711004
Female,5,15,not_pregnant,3,113.91042290982936
Female,5,15,not_pregnant,4,115.1457302887487
Female,5,15,not_pregnant,5,116.2200988679792
Male,5,15,not_pregnant,1,111.68425476827744
Male,5,15,not_pregnant,2,111.69765867911642
Male,5,15,not_pregnant,3,114.17742809355522
Male,5,15,not_pregnant,4,114.78547440167904
Male,5,15,not_pregnant,5,116.07241712274998
Female,15,125,not_pregnant,1,120.28784959177673
Female,15,125,pregnant,1,108.29672154820157
Female,15,125,not_pregnant,2,120.8131305893776
Female,15,125,pregnant,2,108.67911523084054
Female,15,125,not_pregnant,3,121.63918640490172
Female,15,125,pregnant,3,109.51356564250415
Female,15,125,not_pregnant,4,122.27730933874612
Female,15,125,pregnant,4,108.94433347851209
Female,15,125,not_pregnant,5,122.38316246402626
Female,15,125,pregnant,5,111.38329618548637
Male,15,125,not_pregnant,1,120.28784959177673
Male,15,125,not_pregnant,2,120.8131305893776
Male,15,125,not_pregnant,3,121.63918640490172
Male,15,125,not_pregnant,4,122.27730933874612
Male,15,125,not_pregnant,5,122.38316246402626
