scenario,wealth_quintile,value
<<<<<<< HEAD
baseline,1,24943983.791213542
baseline,2,24664122.16385399
baseline,3,22724254.79066634
baseline,4,21494888.759361565
baseline,5,20021733.976561908
intervention,1,22232449.26841447
intervention,2,21793024.188463632
intervention,3,19674284.757124808
intervention,4,18471517.14223302
intervention,5,16995141.953584477
zero,1,24943983.791213542
zero,2,24664122.16385399
zero,3,22724254.79066634
zero,4,21494888.759361565
zero,5,20021733.976561908
=======
baseline,1,27431637.53707126
baseline,2,24926729.65305717
baseline,3,22587787.7184066
baseline,4,21637527.93050475
baseline,5,17469072.97061635
intervention,1,24559932.49099156
intervention,2,21945015.512788657
intervention,3,19646920.170091324
intervention,4,18698195.949453574
intervention,5,14771794.445173305
zero,1,27431637.53707126
zero,2,24926729.65305717
zero,3,22587787.7184066
zero,4,21637527.93050475
zero,5,17469072.97061635
>>>>>>> main
