scenario,wealth_quintile,value
<<<<<<< HEAD
baseline,1,174653.76926115446
baseline,2,180322.59078508106
baseline,3,158254.73658492902
baseline,4,139955.24004245186
baseline,5,106414.57698390775
intervention,1,173883.48699145688
intervention,2,179599.535123885
intervention,3,157790.61301862076
intervention,4,139605.11173804387
intervention,5,106178.44394140004
zero,1,174653.76926115446
zero,2,180322.59078508106
zero,3,158254.73658492902
zero,4,139955.24004245186
zero,5,106414.57698390775
=======
baseline,1,191414.3297679779
baseline,2,194285.38186412342
baseline,3,161615.96830724573
baseline,4,129654.95387789118
baseline,5,113172.8675108527
intervention,1,190419.31398196265
intervention,2,193357.1347315069
intervention,3,161085.07608753874
intervention,4,129327.62462586325
intervention,5,112881.36534113628
zero,1,191414.3297679779
zero,2,194285.38186412342
zero,3,161615.96830724573
zero,4,129654.95387789118
zero,5,113172.8675108527
>>>>>>> main
