scenario,wealth_quintile,value
<<<<<<< HEAD
baseline,1,2562179.9738320913
baseline,2,2215774.872016895
baseline,3,2110361.943746436
baseline,4,1927070.334488014
baseline,5,1405956.3180062934
intervention,1,2455716.169764368
intervention,2,2110013.820804308
intervention,3,2011861.0452942045
intervention,4,1844849.8771797759
intervention,5,1337714.4608929327
zero,1,2562179.9738320913
zero,2,2215774.872016895
zero,3,2110361.943746436
zero,4,1927070.334488014
zero,5,1405956.3180062934
=======
baseline,1,2838841.735003161
baseline,2,2728058.929013245
baseline,3,1833771.7592550563
baseline,4,1639385.7646447127
baseline,5,1102531.3856021129
intervention,1,2726292.2864190824
intervention,2,2607676.714231292
intervention,3,1743420.841831143
intervention,4,1569061.6768494663
intervention,5,1049704.5425055868
zero,1,2838841.735003161
zero,2,2728058.929013245
zero,3,1833771.7592550563
zero,4,1639385.7646447127
zero,5,1102531.3856021129
>>>>>>> main
