scenario,wealth_quintile,value
zero,1,7596.11775664314
zero,2,7767.503193579848
zero,3,7031.727783282595
zero,4,6232.914051353447
zero,5,5474.484244219731
baseline,1,7596.11775664314
baseline,2,7767.503193579848
baseline,3,7031.727783282595
baseline,4,6232.914051353447
baseline,5,5474.484244219731
intervention,1,2666.6665856968457
intervention,2,2903.385295007447
intervention,3,3222.445470996376
intervention,4,3225.543108292693
intervention,5,2975.408608653092
