scenario,wealth_quintile,value
zero,1,2198.402026122217
zero,2,2091.183174942721
zero,3,1903.3423969073256
zero,4,1677.2685401567614
zero,5,1323.196985098892
baseline,1,2198.402026122217
baseline,2,2091.183174942721
baseline,3,1903.3423969073256
baseline,4,1677.2685401567614
baseline,5,1323.196985098892
intervention_25_nrv,1,1039.7369543096097
intervention_25_nrv,2,927.8096018576184
intervention_25_nrv,3,751.6401813360715
intervention_25_nrv,4,1123.019038294554
intervention_25_nrv,5,999.7002647295166
intervention_100_nrv,1,302.0339660544268
intervention_100_nrv,2,254.44252395686823
intervention_100_nrv,3,187.4246373749472
intervention_100_nrv,4,488.9887814199472
intervention_100_nrv,5,527.6846869013679
intervention_45_ppm,1,389.2827237563227
intervention_45_ppm,2,330.7570948377656
intervention_45_ppm,3,246.971203253642
intervention_45_ppm,4,589.135964174116
intervention_45_ppm,5,612.6540615437128
