scenario,wealth_quintile,value
baseline,1,9070418.669545408
baseline,2,7100767.677214347
baseline,3,6292834.208210533
baseline,4,6053045.584847068
baseline,5,4890905.466101354
intervention_100_nrv,1,8307100.24074678
intervention_100_nrv,2,6264290.844157023
intervention_100_nrv,3,5342957.545069332
intervention_100_nrv,4,5620416.466381116
intervention_100_nrv,5,4525560.489661807
intervention_25_nrv,1,8864174.375189692
intervention_25_nrv,2,6862761.041438655
intervention_25_nrv,3,6013351.071308632
intervention_25_nrv,4,5937574.888049222
intervention_25_nrv,5,4794511.125375024
intervention_45_ppm,1,8447094.275130419
intervention_45_ppm,2,6407973.473333887
intervention_45_ppm,3,5498793.150648813
intervention_45_ppm,4,5701240.517967599
intervention_45_ppm,5,4594785.3567987885
zero,1,9070418.669545408
zero,2,7100767.677214347
zero,3,6292834.208210533
zero,4,6053045.584847068
zero,5,4890905.466101354
