vehicle_name,wealth_quintile,sex,value
rice,1,Female,0.3
rice,2,Female,0.3
rice,3,Female,0.3
rice,4,Female,0.3
rice,5,Female,0.3
rice,1,Male,0.3
rice,2,Male,0.3
rice,3,Male,0.3
rice,4,Male,0.3
rice,5,Male,0.3
