sex,age_start,age_end,value
Female,0.0,0.01917808,76846.10751021792
Female,0.01917808,0.07671233,226801.28140399698
Female,0.07671233,0.5,1653024.2179128947
Female,0.5,1.0,1904590.2450967089
Female,1.0,2.0,3736238.389442088
Female,2.0,5.0,10796248.859713273
Female,5.0,10.0,16932039.53064888
Female,10.0,15.0,15770853.02660149
Female,15.0,20.0,13799635.970797488
Female,20.0,25.0,11281655.754380582
Female,25.0,30.0,9287219.656906052
Female,30.0,35.0,7471065.57493418
Female,35.0,40.0,6185237.054317097
Female,40.0,45.0,5091273.297661333
Female,45.0,50.0,4304678.727737778
Female,50.0,55.0,3667140.566505045
Female,55.0,60.0,2899288.8420936945
Female,60.0,65.0,2110836.5229991204
Female,65.0,70.0,1355318.0303418015
Female,70.0,75.0,879624.7018163914
Female,75.0,80.0,556692.0847105109
Female,80.0,85.0,312172.66276122787
Female,85.0,90.0,133387.14681452067
Female,90.0,95.0,43914.678934842224
Female,95.0,125.0,17151.51365658178
Male,0.0,0.01917808,79927.64232096924
Male,0.01917808,0.07671233,234694.42957758871
Male,0.07671233,0.5,1708079.7585303558
Male,0.5,1.0,1966178.4895671292
Male,1.0,2.0,3815136.7234203387
Male,2.0,5.0,10920076.343131633
Male,5.0,10.0,16847830.850475974
Male,10.0,15.0,14920496.251600504
Male,15.0,20.0,12383579.040292937
Male,20.0,25.0,9784195.53354531
Male,25.0,30.0,7859696.387788112
Male,30.0,35.0,6439238.965470019
Male,35.0,40.0,5447180.694759942
Male,40.0,45.0,4657035.698007681
Male,45.0,50.0,3874872.903357352
Male,50.0,55.0,3041398.8722521323
Male,55.0,60.0,2219551.5414524027
Male,60.0,65.0,1572530.1513577495
Male,65.0,70.0,1099678.811079155
Male,70.0,75.0,787824.0303194091
Male,75.0,80.0,525529.7842557242
Male,80.0,85.0,302274.0532121411
Male,85.0,90.0,132981.43197281653
Male,90.0,95.0,43955.6515106134
Male,95.0,125.0,8800.780563062006
