sex,age_start,age_end,value
Female,0.0,0.01917808,32129.46136177621
Female,0.01917808,0.07671233,95365.4738408517
Female,0.07671233,0.5,696914.5182161767
Female,0.5,1.0,806922.734499976
Female,1.0,2.0,1588942.4449783775
Female,2.0,5.0,4570338.672174673
Female,5.0,10.0,7086744.006013745
Female,10.0,15.0,6753936.028443967
Female,15.0,20.0,6312640.27342892
Female,20.0,25.0,5498328.923299355
Female,25.0,30.0,4610923.175812704
Female,30.0,35.0,3775392.1129106963
Female,35.0,40.0,3162865.7731552063
Female,40.0,45.0,2535855.4955987646
Female,45.0,50.0,1823107.4652153654
Female,50.0,55.0,1317891.156265328
Female,55.0,60.0,1005600.2766766917
Female,60.0,65.0,782122.0939672507
Female,65.0,70.0,626528.9156497396
Female,70.0,75.0,402387.5939386688
Female,75.0,80.0,288650.9582487674
Female,80.0,85.0,162773.69802618856
Female,85.0,90.0,70265.48442130693
Female,90.0,95.0,20813.783949312146
Female,95.0,125.0,4509.602181704827
Male,0.0,0.01917808,34029.68032670608
Male,0.01917808,0.07671233,100412.44606486971
Male,0.07671233,0.5,733047.3425107399
Male,0.5,1.0,848066.1256310749
Male,1.0,2.0,1666315.717404301
Male,2.0,5.0,4792630.820031718
Male,5.0,10.0,7438956.483627408
Male,10.0,15.0,7105682.397459349
Male,15.0,20.0,6534921.87173755
Male,20.0,25.0,5515785.410055082
Male,25.0,30.0,4467484.451627784
Male,30.0,35.0,3554659.8554339246
Male,35.0,40.0,2921798.97011994
Male,40.0,45.0,2434087.0364537006
Male,45.0,50.0,1887319.4237224432
Male,50.0,55.0,1388926.8696768286
Male,55.0,60.0,1043628.2419851718
Male,60.0,65.0,790274.3485007827
Male,65.0,70.0,625848.4092448449
Male,70.0,75.0,445622.5962432517
Male,75.0,80.0,313517.1132844494
Male,80.0,85.0,169781.56811730785
Male,85.0,90.0,70105.10911942567
Male,90.0,95.0,19659.103201780865
Male,95.0,125.0,3488.0848067138418
